year,legal_entities,legal_entities_with_activated_investments,employees,turnover_total,capitalized_gross_fixed_investments_total,capitalized_gross_fixed_investments_per_employee,capitalized_gross_fixed_investments_relative_to_turnover
2010,163,122,12559,1886231,33089,2635,1.8
2011,169,122,12603,1953657,33566,2663,1.7
2012,169,125,12646,1942594,34915,2761,1.8
2013,170,138,12893,1986692,47672,3697,2.4
2014,174,144,12920,2035631,49579,3837,2.4
2015,190,156,13563,2272256,49853,3676,2.2
2016,202,163,13993,2179992,54866,3921,2.5
2017,209,160,15398,2397051,59614,3872,2.5
2018,223,177,15804,2729447,91501,5790,3.4
2019,235,193,16825,3014483,76384,4540,2.5
